id_nacionalidad,descripcion
1,Afganistán
2,Albania
3,Alemania
4,Andorra
5,Arabia Saudita
6,Argelia
7,Argentina
8,Armenia
9,Australia
10,Austria
11,Azerbaiyán
12,Bangladés
13,Baréin
14,Bielorrusia
15,Birmania
16,Bolivia
17,Bosnia y Herzegovina
18,Botsuana
19,Brasil
20,Bulgaria
21,Bután
22,Bélgica
23,Canadá
24,Catar
25,Chequia
26,Chile
27,China
28,Chipre
29,Colombia
30,Corea del Norte
31,Corea del Sur
32,Costa Rica
33,Croacia
34,Cuba
35,Dinamarca
36,Dominica
37,Ecuador
38,Egipto
39,El Salvador
40,Emiratos Árabes Unidos
41,Eslovaquia
42,Eslovenia
43,España
44,Estados Unidos
45,Estonia
46,Filipinas
47,Finlandia
48,Francia
49,Georgia
50,Grecia
51,Guatemala
52,Honduras
53,Hong Kong
54,Hungría
55,India
56,Indonesia
57,Irak
58,Irlanda
59,Irán
60,Islandia
61,Israel
62,Italia
63,Japón
64,Jordania
65,Kazajistán
66,Kenia
67,Kirguistán
68,Kuwait
69,Letonia
70,Libia
71,Liechtenstein
72,Lituania
73,Luxemburgo
74,Líbano
75,Macedonia del Norte
76,Malasia
77,Malta
78,Marruecos
79,Mauricio
80,Moldavia
81,Mongolia
82,Montenegro
83,México
84,Nepal
85,Noruega
86,Nueva Zelanda
87,Omán
88,Pakistán
89,Palestina
90,Panamá
91,Paraguay
92,Países Bajos
93,Perú
94,Polonia
95,Portugal
96,Reino Unido
97,República Dominicana
98,Rumania
99,Rusia
100,San Marino
101,Serbia
102,Singapur
103,Siria
104,Sri Lanka
105,Sudáfrica
106,Suecia
107,Suiza
108,Tailandia
109,Taiwán
110,Tanzania
111,Tayikistán
112,Turkmenistán
113,Turquía
114,Túnez
115,Ucrania
116,Uruguay
117,Uzbekistán
118,Venezuela
119,Vietnam
120,Yugoslavia
